Internal ID,ZAB Subscription,Line ID
2167497,173218,0
2167497,171721,1
2167497,171721,2
2171319,171721,0
2171319,171721,2
2171319,173218,25
2171319,173218,26
2171319,173218,3
2171319,173218,4
2171319,173218,5
2171319,164720,6
2171319,164720,7
2171319,164720,8
2171319,164720,9
2171319,164720,10
2171319,171721,11
2171319,168519,12
2171319,164720,13
2171319,164720,14
2171319,164720,15
2171319,164720,16
2171319,171721,17
2171319,168519,18
2171319,164718,19
2171319,164718,20
2171319,164718,21
2171319,164718,22
2171621,164718,0
2171621,173024,16
2171621,168519,17
2171621,164718,1
2171621,164718,2
2171621,164718,3
2171621,164718,4
2171621,164718,5
2171621,173024,6
2171621,168519,7
2171621,164718,8
2171621,173024,9
2171621,168519,10
2171621,164722,11
2171621,164722,12
2171621,164722,13
2182470,164722,10
2182470,164722,11
2182470,164722,0
2182470,173024,1
2182470,168519,2
2182470,164722,3
2182470,164722,4
2182470,164722,5
2182470,164722,6
2182470,164722,7
2188777,164722,10
2188777,164722,0
2188777,173024,1
2188777,168519,2
2188777,163526,3
2188777,163526,4
2188777,163526,5
2188777,163526,6
2188777,163526,7
2188777,173024,8
2468780,168519,0
2468780,173024,1
2468780,168519,2
2468781,163327,0
2468781,163327,1
2468781,163327,2
2468781,163327,3
2468781,163327,4
2468781,163327,5
2468781,163327,6
2468781,173024,7
2468781,168519,8
2468782,173024,0
2468782,168519,1
2468783,163327,0
2468783,173024,1
2468783,171721,2
2468783,168519,3
2468783,163327,4
2468783,163327,5
2468783,171721,6
2468783,168519,7
2468784,163327,0
2468784,163327,1
2468784,163327,2
2468785,163327,0
2468785,163327,1
2468785,163327,2
2468786,163327,0
2468786,171721,1
2468786,168519,2
2468787,171721,0
2468787,168519,1
2468787,163329,2
2468788,163329,0
2468788,171721,1
2468788,163329,2
2468788,163329,3
2468788,163329,4
2468788,163329,5
2468788,163329,6
2468788,163329,7
2468788,163329,8
2468788,163329,9
2468788,163329,10
2468788,163329,11
2468788,163329,12
2468789,163329,0
2468790,163329,0
2468790,163329,1
2468790,171721,2
2468791,171721,0
2468791,171721,1
2468791,171721,2
2468792,171721,0
2468792,171721,1
2468792,171721,2
2468793,171721,0
2468793,171721,1
2468793,171721,2
2468793,170320,3
2468793,170320,4
2468793,170320,5
2468793,170320,6
2468793,170320,7
2468793,170320,8
2468793,173024,9
2468793,173024,10
2468793,173024,11
2468793,173024,12
2468793,173024,13
2468793,173024,14
2468794,173024,0
2468794,173024,1
2468795,173024,0
2468795,173024,1
2468796,173024,0
2468797,173024,0
2468797,173024,1
2468797,173024,2
2468798,173024,0
2468798,173024,1
2468798,173024,2
2468799,173024,0
2468799,173024,1
2468800,173024,0
2468800,173024,1
2468800,173024,2
2468800,173024,3
2468800,173024,4
2468800,173024,5
2468800,173024,6
2468800,173024,7
2468800,173024,8
2468800,173024,9
2468801,173024,0
2468801,173024,1
2468801,173024,2
2468802,173024,0
2468802,173024,1
2468802,173024,2
2468803,173024,0
2468803,173024,1
2468804,173024,0
2468804,173024,1
2468804,173024,2
2468804,173024,3
2468804,173024,4
2468804,173024,5
2468804,173024,6
2468804,173024,7
2468804,173024,8
2468804,173024,9
2468805,168519,0
2468805,163329,1
2468806,163329,0
2468806,163329,1
2468806,163329,2
2468807,163329,0
2468807,173024,1
2468807,173024,2
2468807,168519,3
2468807,173024,4
2468807,168519,5
2468807,163329,6
2468807,163329,7
2468807,163329,8
2468807,163329,9
2468807,163329,10
2468808,163329,0
2468808,163329,1
2468808,163329,2
2468809,173024,0
2468809,168418,1
2468809,173024,2
2468866,173024,0
2468866,173024,1
2468866,173024,2
2468867,173024,0
2468867,173024,1
2468867,173024,2
2468867,173024,3
2468867,173024,4
2468867,173024,5
2468867,168418,6
2468867,173024,7
2468868,173024,0
2468868,173024,1
2468868,173024,2
2468868,173024,3
2468868,173024,4
2468868,173024,5
2468868,173024,6
2468868,173024,7
2468868,168418,8
2468868,163526,9
2468868,163526,10
2468868,163526,11
2468868,163526,12
2468868,163526,13
2468869,163526,0
2468869,163526,1
2468869,163526,2
2468869,173024,3
2468869,168418,4
2468869,163526,5
2468869,163526,6
2468869,163526,7
2468869,163526,8
2468869,163526,9
2468870,173024,0
2468870,173024,1
2468870,168418,2
2468870,173024,3
2468870,168418,4
2468870,163526,5
2468870,163526,6
2468870,163526,7
2468870,163526,8
2468870,163526,9
2468870,163526,10
2468870,173024,11
2468871,168418,0
2468871,163526,1
2468871,163526,2
2468872,163526,0
2468872,163526,1
2468872,163526,2
2468872,163526,3
2468872,173024,4
2468872,168418,5
2468872,173024,6
2468872,168418,7
2468872,163526,8
2468873,163526,0
2468874,163526,0
2468874,163526,1
2468874,163526,2
2468875,163526,0
2468875,163526,1
2468875,173024,2
2468875,168418,3
2468875,163526,4
2468875,163526,5
2468875,163526,6
2468875,163526,7
2468876,163526,0
2468876,163526,1
2468876,173024,2
2468876,173024,3
2468876,168418,4
2468876,163526,5
2468876,163526,6
2468877,163526,0
2468877,173024,1
2468877,173024,2
2468877,173024,3
2468877,173024,4
2468877,168418,5
2468877,173024,6
2468877,168418,7
2468877,173024,8
2468877,168418,9
2468877,173024,10
2468877,168418,11
2468877,173024,12
2468877,168418,13
2468877,173024,14
2468878,168418,0
2468878,173024,1
2468878,168418,2
2468879,173024,0
2468879,168418,1
2468880,173024,0
2468880,168418,1
2468880,173024,2
2468881,168418,0
2468881,173024,1
2468882,168418,0
2468883,173024,0
2468883,168418,1
2468883,173024,2
2468883,168418,3
2468883,173024,4
2468883,168418,5
2468883,173024,6
2468883,168418,7
2468883,173024,8
2468883,168418,9
2468883,173024,10
2468884,168418,0
2468884,173024,1
2468884,168418,2
2468885,173024,0
2468885,168418,1
2468886,173024,0
2468886,168418,1
2468886,173024,2
2468886,168418,3
2468886,173024,4
2468886,168418,5
2468886,173024,6
2468886,168418,7
2468886,173024,8
2468886,168418,9
2468886,173024,10
2468886,168418,11
2468886,173024,12
2468887,168418,0
2468887,173024,1
2468887,168418,2
2468888,173024,0
2468888,168418,1
2468888,173024,2
2468889,168418,0
2468889,173024,1
2468889,168418,2
2468890,173024,0
2468890,168418,1
2468890,173024,2
2468891,168418,0
2468891,173024,1
2468891,168418,2
2468892,173024,0
2468892,168418,1
2468893,173024,0
2468893,168418,1
2468893,173024,2
2468894,168418,0
2468894,173024,1
2468894,168418,2
2468894,173024,3
2468894,168418,4
2468894,173024,5
2468894,168418,6
2468894,173024,7
2468894,168418,8
2468894,173024,9
2468894,168418,10
2468894,173024,11
2468895,168418,0
2468895,173024,1
2468895,168418,2
2468896,173024,0
2468896,168418,1
2468896,173024,2
2468897,168418,0
2468897,173024,1
2468897,168418,2
2468898,173024,0
2468898,168418,1
2468898,173024,2
2468899,168418,0
2468899,173024,1
2468899,168418,2
2468899,173024,3
2468899,168418,4
2468899,173024,5
2468899,168418,6
2468899,173024,7
2468899,168418,8
2468899,173024,9
2468899,168418,10
2468899,173024,11
2468899,168418,12
2468899,173024,13
2468900,168418,0
2468900,173024,1
2468900,168418,2
2468901,173024,0
2468901,168418,1
2468901,173024,2
2468901,168418,3
2468901,173024,4
2468901,168418,5
2468901,173024,6
2468901,168418,7
2468901,173024,8
2468901,168418,9
2468901,173024,10
2468901,168418,11
2468901,173024,12
2468902,168418,0
2468902,173024,1
2468902,168418,2
2468903,173024,0
2468903,168418,1
2468903,173024,2
2468904,168418,0
2468905,173024,0
2468905,168418,1
2468905,173024,2
2468905,168418,3
2468905,173024,4
2468905,168418,5
2468905,173024,6
2468905,168418,7
2468905,173024,8
2468905,168418,9
2468905,173024,10
2468905,168418,11
2468905,173024,12
2468905,168418,13
2468905,173024,14
2468906,168418,0
2468906,173024,1
2468906,168418,2
2468907,173024,0
2468908,168418,0
2468908,173024,1
2468908,168418,2
2468908,173024,3
2468908,168418,4
2468908,173024,5
2468908,168418,6
2468908,173024,7
2468908,168418,8
2468908,173024,9
2468908,168418,10
2468908,173024,11
2468908,168418,12
2468908,173024,13
2468909,168418,0
2468909,173024,1
2468909,168418,2
2468909,173024,3
2468909,168418,4
2468909,173024,5
2468909,168418,6
2468909,170320,7
2468909,168418,8
2468909,170320,9
2468909,168418,10
2468909,170320,11
2468909,168418,12
2468909,170320,13
2468910,168418,0
2468910,170320,1
2468910,168418,2
2468910,170320,3
2468910,168418,4
2468910,170320,5
2468910,168418,6
2468910,170320,7
2468911,168418,0
2468911,170320,1
2468911,168418,2
2468911,171819,3
2468911,168418,4
2468911,170320,5
2468911,168418,6
2468911,170320,7
2468911,168418,8
2468911,170320,9
2468911,168418,10
2468911,170320,11
2468911,168418,12
2468911,170320,13
2468912,168418,0
2468912,170320,1
2468913,168418,0
2468913,170320,1
2468914,168418,0
2468914,170320,1
2468914,168418,2
2468914,170320,3
2468914,168418,4
2468914,170320,5
2468914,168418,6
2468914,170320,7
2468914,168418,8
2468914,170320,9
2468914,168418,10
2468914,172424,11
2468914,168418,12
2468915,172424,0
2468915,168418,1
2468915,172424,2
2468915,168418,3
2468915,172424,4
2468915,168418,5
2468915,172424,6
2468915,168418,7
2468915,172424,8
2468915,168418,9
2468915,172424,10
2468915,168418,11
2468916,172424,0
2468916,168418,1
2468916,172424,2
2468916,168418,3
2468916,172424,4
2468916,168418,5
2468916,172424,6
2468916,168418,7
2468916,172424,8
2468916,168418,9
2468916,172424,10
2468916,168418,11
2468916,172424,12
2468917,168418,0
2468917,172424,1
2468917,168418,2
2468917,172424,3
2468917,168418,4
2468917,172424,5
2468917,168418,6
2468917,172424,7
2468917,168418,8
2468917,172424,9
2468918,168418,0
2468918,172424,1
2468918,168418,2
2468918,172424,3
2468918,168418,4
2468918,172424,5
2468918,168418,6
2468918,172424,7
2468918,168418,8
2468918,172424,9
2468919,168418,0
2468919,172424,1
2468919,168418,2
2468920,172424,0
2468920,168418,1
2468920,172424,2
2468920,168418,3
2468920,172424,4
2468920,168418,5
2468920,172424,6
2468920,168418,7
2468920,172424,8
2468920,168418,9
2468920,170320,10
2468920,168418,11
2468920,170320,12
2468920,168418,13
2468920,170320,14
2468921,168418,0
2468921,170320,1
2468921,168418,2
2468921,172420,3
2468921,168418,4
2468921,172420,5
2468921,168418,6
2468921,172420,7
2468921,168418,8
2468921,172420,9
2468921,168418,10
2468921,172420,11
2468922,168418,0
2468922,172420,1
2468922,168418,2
2468922,172420,3
2468922,168418,4
2468922,172420,5
2468922,168418,6
2468922,172420,7
2468922,168418,8
2468922,172420,9
2468922,168418,10
2468922,172420,11
2468923,168418,0
2468923,170320,1
2468923,168418,2
2468923,170320,3
2468923,168418,4
2468923,170320,5
2468923,168418,6
2468923,170320,7
2468923,168418,8
2468923,170320,9
2468923,168418,10
2468923,170320,11
2468923,168418,12
2468923,170320,13
2468923,168418,14
2468923,171819,15
2468923,168418,16
2468924,171819,0
2468924,168418,1
2468924,171819,2
2468924,168418,3
2468924,171819,4
2468924,168418,5
2468924,171819,6
2468924,168418,7
2468924,171819,8
2468924,168418,9
2468924,171819,10
2468924,168418,11
2468925,171819,0
2468925,168418,1
2468925,171819,2
2468926,168418,0
2468926,171819,1
2468926,168418,2
2468927,171819,0
2468927,168418,1
2468927,171819,2
2468927,168418,3
2468927,171819,4
2468927,168418,5
2468927,171819,6
2468927,168418,7
2468927,171819,8
2468927,168418,9
2468927,171819,10
2468927,168418,11
2468927,171819,12
2468927,168418,13
2468927,171819,14
2468928,168418,0
2468928,171819,1
2468929,168418,0
2468929,171819,1
2468929,168418,2
2468929,171819,3
2468929,168418,4
2468929,171819,5
2468929,168418,6
2468929,171819,7
2468929,168418,8
2468929,171819,9
2468929,168418,10
2468929,171819,11
2468930,168418,0
2468930,171819,1
2468930,168418,2
2468930,171819,3
2468930,168418,4
2468930,171819,5
2468930,168418,6
2468930,171819,7
2468930,168418,8
2468930,171819,9
2468930,168418,10
2468930,172420,11
2468930,168418,12
2468931,172420,0
2468931,168418,1
2468931,172420,2
2468931,168418,3
2468931,172420,4
2468931,168418,5
2468931,172420,6
2468931,168418,7
2468931,172420,8
2468931,168418,9
2468932,172420,0
2468932,168418,1
2468933,172420,0
2468933,168418,1
2468933,172420,2
2468933,168418,3
2468933,172420,4
2468933,168418,5
2468933,172420,6
2468933,168418,7
2468933,172420,8
2468933,168418,9
2468934,172420,0
2468934,168418,1
2468934,172420,2
2468935,168418,0
2468935,172420,1
2468935,168418,2
2468936,172420,0
2468936,168418,1
2468936,172420,2
2468937,168418,0
2468937,172420,1
2468937,168418,2
2468937,172420,3
2468937,168418,4
2468937,172420,5
2468937,168418,6
2468937,172420,7
2468937,168418,8
2468937,172420,9
2468938,168418,0
2468938,172420,1
2468938,168418,2
2468939,172420,0
2468939,168418,1
2468939,172420,2
2468939,168418,3
2468940,172420,0
2468940,168418,1
2468940,172420,2
2468941,168418,0
2468941,172420,1
2468941,168418,2
2468942,172420,0
2468942,168418,1
2468942,172420,2
2468942,168418,3
2468942,172420,4
2468942,168418,5
2468942,172420,6
2468942,168418,7
2468942,172420,8
2468942,168418,9
2468942,172420,10
2468942,168418,11
2468943,172420,0
2468943,168418,1
2468943,172420,2
2468944,168418,0
2468944,172420,1
2468944,168418,2
2468945,172420,0
2468945,168418,1
2468946,172420,0
2468946,168418,1
2468946,172420,2
2468946,168418,3
2468946,172420,4
2468946,168418,5
2468946,172420,6
2468946,168418,7
2468947,172420,0
2468947,168418,1
2468947,172420,2
2468948,168418,0
2468948,172420,1
2468948,168418,2
2468948,172420,3
2468948,168418,4
2468948,172420,5
2468948,168418,6
2468948,172420,7
2468948,168418,8
2468948,172420,9
2468948,168418,10
2468948,172420,11
2468948,168418,12
2468948,172420,13
2468948,168418,14
2468948,172420,15
2468948,168418,16
2468948,172420,17
2468949,168418,0
2468949,172420,1
2468950,168418,0
2468950,172420,1
2468950,168418,2
2468950,172420,3
2468950,168418,4
2468950,172420,5
2468950,168418,6
2468950,172420,7
2468950,168418,8
2468950,172420,9
2468950,168418,10
2468950,172420,11
2468951,168418,0
2468951,172420,1
2468951,168418,2
2468951,172420,3
2468951,168418,4
2468951,172420,5
2468951,168418,6
2468951,172420,7
2468951,168418,8
2468951,172420,9
2468951,168418,10
2468951,172420,11
2468951,168418,12
2468952,172420,0
2468952,168418,1
2468952,172420,2
2468952,168418,3
2468952,172420,4
2468952,168418,5
2468952,172420,6
2468952,168418,7
2468952,172420,8
2468952,168418,9
2468952,172420,10
2468952,168418,11
2468952,172420,12
2468952,168418,13
2468953,172420,0
2468953,168418,1
2468953,172420,2
2468953,168418,3
2468953,172420,4
2468953,168418,5
2468953,172420,6
2468954,168418,0
2468954,163526,1
2468954,163526,2
2468955,163526,0
2468955,163526,1
2468956,163526,0
2468956,163526,1
2468957,163526,0
2468957,163526,1
2468957,163526,2
2468958,172420,0
2468958,168418,1
2468958,163526,2
2468958,163526,3
2468958,163526,4
2468958,163526,5
2468958,163526,6
2468958,163526,7
2468958,163526,8
2468958,163526,9
2468958,163526,10
2468958,172420,11
2468958,168418,12
2468958,163526,13
2468958,163526,14
2468959,163526,0
2468959,163526,1
2468960,163526,0
2468960,163526,1
2468960,172420,2
2468961,168418,0
2468961,163526,1
2468961,163526,2
2468961,163526,3
2468961,163526,4
2468961,163526,5
2468961,163526,6
2468961,163526,7
2468961,163526,8
2468961,163526,9
2468961,172420,10
2468961,168418,11
2468961,163526,12
2468961,163526,13
2468962,163526,0
2468962,163526,1
2468962,163526,2
2468963,163526,0
2468963,163526,1
2468963,172420,2
2468963,168418,3
2468963,163526,4
2468963,163526,5
2468963,163526,6
2468963,163526,7
2468963,163526,8
2468963,163526,9
2468963,163526,10
2468963,163526,11
2468963,163526,12
2468963,172420,13
2468963,168418,14
2468963,163526,15
2468963,163526,16
2468963,163526,17
2468964,163526,0
2468964,163526,1
2468964,163526,2
2468964,172420,3
2468964,168418,4
2468964,163526,5
2468964,163526,6
2468964,163526,7
2468964,163526,8
2468964,163526,9
2468964,163526,10
2468964,172420,11
2468964,168418,12
2468964,163526,13
2468964,163526,14
2468965,163526,0
2468965,163526,1
2468965,163526,2
2468966,163526,0
2468966,163526,1
2468967,163526,0
2468967,163526,1
2468967,172420,2
2468968,168418,0
2468968,163526,1
2468968,163526,2
2468969,163526,0
2468969,163526,1
2468969,163526,2
2468970,163526,0
2468970,163526,1
2468970,172420,2
2468971,168418,0
2468971,163526,1
2468971,163526,2
2468971,163526,3
2468971,163526,4
2468971,163526,5
2468971,163526,6
2468971,172420,7
2468971,168418,8
2468971,163526,9
2468971,163526,10
2468971,163526,11
2468971,163526,12
2468971,163526,13
2468972,163526,0
2468972,163526,1
2468972,172420,2
2468973,168418,0
2468973,163526,1
2468973,163526,2
2468973,163526,3
2468973,163526,4
2468973,163526,5
2468973,163526,6
2468973,163526,7
2468973,172420,8
2468973,168418,9
2468973,163526,10
2468973,163526,11
2468973,163526,12
2468973,163526,13
2468974,163526,0
2468974,163526,1
2468974,163526,2
2468974,172420,3
2468974,168418,4
2468974,163526,5
2468974,163526,6
2468974,163526,7
2468974,163526,8
2468974,163526,9
2468974,163526,10
2468974,163526,11
2468975,172420,0
2468975,168418,1
2468975,163526,2
2468975,163526,3
2468975,163526,4
2468975,163526,5
2468975,163526,6
2468975,163526,7
2468975,163526,8
2468975,172420,9
2468975,168418,10
2468975,163526,11
2468975,163526,12
2468976,163526,0
2468976,163526,1
2468976,163526,2
2468976,163526,3
2468976,163526,4
2468977,172420,0
2468977,168418,1
2468977,163526,2
2468977,163526,3
2468977,163526,4
2468977,163526,5
2468977,163526,6
2468977,163526,7
2468977,163526,8
2468977,163526,9
2468977,163526,10
2468977,172420,11
2468977,168418,12
2468978,163526,0
2468978,163526,1
2468978,163526,2
2468978,163526,3
2468978,163526,4
2468978,163526,5
2468978,163526,6
2468978,163526,7
2468978,163526,8
2468978,172420,9
2468978,168418,10
2468978,163526,11
2468979,163526,0
2468979,163526,1
2468979,163526,2
2468979,163526,3
2468979,163526,4
2468979,163526,5
2468979,163526,6
2468979,163526,7
2468979,172420,8
2468979,168418,9
2468979,163526,10
2468979,163526,11
2468980,163526,0
2468980,163526,1
2468980,163526,2
2468980,163526,3
2468980,163526,4
2468980,172420,5
2468980,168418,6
2468980,163526,7
2468980,163526,8
2468980,163526,9
