Internal ID,ZAB Subscription,Line ID
2107969,173218,0
2107972,171721,0
2108274,171721,0
2117126,171721,0
2117829,171721,0
2117829,173218,1
2205327,173218,0
2205327,173218,1
2207136,173218,0
2207136,173218,1
2207136,164720,2
2207136,164720,3
2207136,164720,4
2207136,164720,5
2207136,164720,6
2207139,171721,0
2207139,168519,1
2207139,164720,2
2207139,164720,3
2207139,164720,4
2207139,164720,5
2207340,171721,0
2207340,168519,1
2207340,164718,2
2207340,164718,3
2207340,164718,4
2207340,164718,5
2207340,164718,6
2207441,173024,0
2207441,168519,1
2207441,164718,2
2207441,164718,3
2207441,164718,4
2207441,164718,5
2207441,164718,6
2207542,173024,0
2207542,168519,1
2207542,164718,2
2207643,173024,0
2207643,168519,1
2207643,164722,2
2207643,164722,3
2207643,164722,4
2207643,164722,5
2207643,164722,6
2207643,164722,7
2208044,173024,0
2208044,168519,1
2208044,164722,2
2208044,164722,3
2208044,164722,4
2208044,164722,5
2208044,164722,6
2208044,164722,7
2208044,164722,8
2208345,173024,0
2208345,168519,1
2208345,163526,2
2208345,163526,3
2208345,163526,4
2208345,163526,5
2208345,163526,6
2208948,173024,0
2208948,168519,1
2212855,173024,0
2212855,168519,1
2212855,163327,2
2212855,163327,3
2212855,163327,4
2212855,163327,5
2212855,163327,6
2212855,163327,7
2212855,163327,8
2214058,173024,0
2214058,168519,1
2237527,173024,0
2237527,168519,1
2237527,163327,2
2238031,173024,0
2240258,171721,0
2240258,168519,1
2240258,163327,2
2240258,163327,3
2252793,171721,0
2252793,168519,1
2252793,163327,2
2252793,163327,3
2252793,163327,4
2252793,163327,5
2252793,163327,6
2252793,163327,7
2252793,163327,8
2259012,171721,0
2259012,168519,1
2282763,171721,0
2282763,168519,1
2282763,163329,2
2282763,163329,3
2282763,171721,4
2282763,163329,5
2282763,163329,6
2282763,163329,7
2282763,163329,8
2282763,163329,9
2282763,163329,10
2282763,163329,11
2282763,163329,12
2282763,163329,13
2282763,163329,14
2282763,163329,15
2282763,163329,16
2282763,163329,17
2282763,163329,18
2283466,171721,0
2288572,171721,0
2288573,171721,0
2288574,171721,0
2288575,171721,0
2288576,171721,0
2288577,171721,0
2288578,171721,0
2288579,171721,0
2288580,171721,0
2288581,170320,0
2288582,170320,0
2288583,170320,0
2288584,170320,0
2288585,170320,0
2288586,170320,0
2288587,173024,0
2288588,173024,0
2288589,173024,0
2288590,173024,0
2288591,173024,0
2288592,173024,0
2288593,173024,0
2288594,173024,0
2288595,173024,0
2288596,173024,0
2288597,173024,0
2288598,173024,0
2288599,173024,0
2288600,173024,0
2288601,173024,0
2288602,173024,0
2288603,173024,0
2288604,173024,0
2288605,173024,0
2288606,173024,0
2288607,173024,0
2288608,173024,0
2288609,173024,0
2288610,173024,0
2288611,173024,0
2288612,173024,0
2288613,173024,0
2288614,173024,0
2288615,173024,0
2288616,173024,0
2288617,173024,0
2288618,173024,0
2288619,173024,0
2288620,173024,0
2288621,173024,0
2288622,173024,0
2288623,173024,0
2288624,173024,0
2288625,173024,0
2288626,173024,0
2288627,173024,0
2288628,173024,0
2288629,173024,0
2288630,173024,0
2288631,173024,0
2288632,173024,0
2290375,173024,0
2290375,168519,1
2290375,163329,2
2290375,163329,3
2290375,163329,4
2290375,163329,5
2290375,163329,6
2291777,173024,0
2292478,173024,0
2292478,168519,1
2300789,173024,0
2300789,168519,1
2300789,163329,2
2300789,163329,3
2300789,163329,4
2300789,163329,5
2300789,163329,6
2300789,163329,7
2300789,163329,8
2300789,163329,9
2300894,173024,0
2300894,168418,1
2300894,173024,2
2300894,173024,3
2300894,173024,4
2300894,173024,5
2300894,173024,6
2300894,173024,7
2300894,173024,8
2300894,173024,9
2301796,173024,0
2304404,173024,0
2304404,168418,1
2304404,173024,2
2304404,173024,3
2304404,173024,4
2304404,173024,5
2304404,173024,6
2304404,173024,7
2304404,173024,8
2304404,173024,9
2304505,173024,0
2304505,168418,1
2304505,163526,2
2304505,163526,3
2304505,163526,4
2304505,163526,5
2304505,163526,6
2304505,163526,7
2304505,163526,8
2304505,163526,9
2311320,173024,0
2311320,168418,1
2311320,163526,2
2311320,163526,3
2311320,163526,4
2311320,163526,5
2311320,163526,6
2311421,173024,0
2311422,173024,0
2311422,168418,1
2311423,173024,0
2311423,168418,1
2311423,163526,2
2311423,163526,3
2311423,163526,4
2311423,163526,5
2311423,163526,6
2311423,163526,7
2322663,173024,0
2322663,168418,1
2322663,163526,2
2322663,163526,3
2322663,163526,4
2322663,163526,5
2322663,163526,6
2322663,163526,7
2353667,173024,0
2353667,168418,1
2354769,173024,0
2354769,168418,1
2354769,163526,2
2354769,163526,3
2354769,163526,4
2354769,163526,5
2354769,163526,6
2354769,163526,7
2354769,163526,8
2362403,173024,0
2362403,168418,1
2362403,163526,2
2362403,163526,3
2362403,163526,4
2362403,163526,5
2362403,163526,6
2362403,163526,7
2372970,173024,0
2373671,173024,0
2373671,168418,1
2373671,163526,2
2373671,163526,3
2373671,163526,4
2373672,173024,0
2419581,173024,0
2419582,173024,0
2447673,173024,0
2447673,168418,1
2447674,173024,0
2447674,168418,1
2447676,173024,0
2447676,168418,1
2447677,173024,0
2447677,168418,1
2447678,173024,0
2447678,168418,1
2447679,173024,0
2447679,168418,1
2447680,173024,0
2447680,168418,1
2447681,173024,0
2447681,168418,1
2447682,173024,0
2447682,168418,1
2447683,173024,0
2447683,168418,1
2447684,173024,0
2447684,168418,1
2447685,173024,0
2447685,168418,1
2447686,173024,0
2447686,168418,1
2447687,173024,0
2447687,168418,1
2447688,173024,0
2447688,168418,1
2447690,173024,0
2447690,168418,1
2447691,173024,0
2447691,168418,1
2447692,173024,0
2447692,168418,1
2447693,173024,0
2447693,168418,1
2447694,173024,0
2447694,168418,1
2447695,173024,0
2447695,168418,1
2447696,173024,0
2447696,168418,1
2447698,173024,0
2447698,168418,1
2447699,173024,0
2447699,168418,1
2447701,173024,0
2447701,168418,1
2447702,173024,0
2447702,168418,1
2447703,173024,0
2447703,168418,1
2447705,173024,0
2447705,168418,1
2447706,173024,0
2447706,168418,1
2447707,173024,0
2447707,168418,1
2447708,173024,0
2447708,168418,1
2447709,173024,0
2447709,168418,1
2447710,173024,0
2447710,168418,1
2447711,173024,0
2447711,168418,1
2447713,173024,0
2447713,168418,1
2447714,173024,0
2447714,168418,1
2447715,173024,0
2447715,168418,1
2447716,173024,0
2447716,168418,1
2447717,173024,0
2447717,168418,1
2447718,173024,0
