Internal ID,ZAB Subscription,Line ID
2471510,164720,0
2471510,164720,1
2471510,164720,2
2471511,164720,0
2471511,164720,1
2471512,164720,0
2471512,164720,1
2471512,164720,2
2471512,164720,3
2471512,164720,4
2471512,164720,5
2471512,164720,6
2471512,164720,7
2471512,164720,8
2471512,164720,9
2471513,164720,0
2471513,164720,1
2471513,164720,2
2471513,164720,3
2471513,164720,4
2471513,164720,5
2471513,164720,6
2471513,164720,7
2471513,164720,8
2471514,164720,0
2471514,164720,1
2471514,164720,2
2471515,164720,0
2471515,164720,1
2471515,164720,2
2471515,164720,3
2471515,164720,4
2471515,164720,5
2471515,164720,6
2471515,164720,7
2471515,164720,8
2471516,164720,0
2471516,164720,1
2471516,164720,2
2471516,164720,3
2471516,164720,4
2471516,164720,5
2471516,164720,6
2471516,164720,7
2471516,164720,8
2471516,164720,9
2471516,164720,10
2471516,164720,11
2471516,164720,12
2471517,164720,0
2471517,164720,1
2471517,164720,2
2471517,164720,3
2471517,164720,4
2471517,164720,5
2471517,164720,6
2471517,164720,7
2471517,164720,8
2471517,164720,9
2471517,164720,10
2471517,164720,11
2471518,164720,0
2471518,164720,1
2471518,164720,2
2471518,164720,3
2471518,164720,4
2471518,164720,5
2471518,164720,6
2471518,164720,7
2471518,164720,8
2471518,164720,9
2471518,164720,10
2471518,164720,11
2471518,164720,12
2471518,164720,13
2471518,164720,14
2471519,164720,0
2471519,164720,1
2471519,164720,2
2471519,164720,3
2471519,164720,4
2471519,164720,5
2471519,164720,6
2471519,164720,7
2471519,164720,8
2471519,164720,9
2471519,164720,10
2471520,164720,0
2471520,164720,1
2471520,164720,2
2471520,164720,3
2471520,164720,4
2471520,164720,5
2471520,164720,6
2471520,164720,7
2471520,164720,8
2471520,164720,9
2471520,164720,10
2471520,164720,11
2471520,164720,12
2471520,164720,13
2471520,164720,14
2471521,164720,0
2471521,164720,1
2471522,164720,0
2471522,164720,1
2471522,164720,2
2471522,164720,3
2471522,164720,4
2471522,164720,5
2471522,164720,6
2471522,164720,7
2471522,164720,8
2471522,164720,9
2471522,164720,10
2471522,164720,11
2471522,164720,12
2471522,164720,13
2471523,164720,0
2471523,164720,1
2471523,164720,2
2471523,164720,3
2471523,164720,4
2471523,164720,5
2471523,164720,6
2471523,164720,7
2471523,164720,8
2471523,164720,9
2471523,164720,10
2471523,164720,11
2471523,164720,12
2471523,164720,13
2471524,164720,0
2471524,164720,1
2471524,164720,2
2471524,164720,3
2471524,164720,4
2471524,164720,5
2471524,164720,6
2471524,164720,7
2471524,164720,8
2471524,164720,9
2471524,164720,10
2471525,164720,0
2471525,164720,1
2471525,164720,2
2471525,164720,3
2471525,164720,4
2471525,164720,5
2471526,164720,0
2471526,164720,1
2471526,164720,2
2471526,164720,3
2471526,164720,4
2471526,164720,5
2471526,164720,6
2471526,164720,7
2471526,164720,8
2471527,164720,0
2471527,164720,1
2471527,164720,2
2471527,164720,3
2471527,164720,4
2471527,164720,5
2471527,164720,6
2471527,164720,7
2471527,164720,8
2471527,164720,9
2471527,164720,10
2471527,164720,11
2471528,164720,0
2471528,164720,1
2471528,164720,2
2471528,164720,3
2471528,164720,4
2471528,164720,5
2471528,164720,6
2471528,164720,7
2471528,164720,8
2471528,164720,9
2471528,164720,10
2471528,164720,11
2471528,164720,12
2471529,164720,0
2471529,164720,1
2471529,164720,2
2471529,164720,3
2471529,164720,4
2471529,164720,5
2471529,164720,6
2471529,164720,7
2471529,164720,8
2471529,164720,9
2471529,164720,10
2471529,164720,11
2471529,164720,12
2471529,164720,13
2471530,164720,0
2471530,164720,1
2471530,164720,2
2471530,164720,3
2471530,164720,4
2471530,164720,5
2471530,164720,6
2471530,164720,7
2471530,164720,8
2471530,164720,9
2471530,164720,10
2471530,164720,11
2471531,164720,0
2471531,164720,1
2471531,164720,2
2471531,164720,3
2471531,164720,4
2471531,164720,5
2471531,164720,6
2471531,164720,7
2471531,164720,8
2471531,164720,9
2471531,164720,10
2471531,164720,11
2471531,164720,12
2471531,164720,13
2471532,164720,0
2471532,164720,1
2471532,164720,2
2471533,164720,0
2471534,164720,0
2471535,164720,0
2471535,164720,1
2471535,164720,2
2471535,164720,3
2471535,164720,4
2471535,164720,5
2471535,164720,6
2471535,164720,7
2471535,164720,8
2471535,164720,9
2471535,164720,10
2471535,164720,11
2471535,164720,12
2471535,164720,13
2471536,164720,0
2471536,164720,1
2471537,164720,0
2471537,164720,1
2471537,164720,2
2471538,164720,0
2471538,164720,1
2471538,164720,2
2471539,164720,0
2471540,164720,0
2471540,164720,1
2471540,164720,2
2471541,164720,0
2471541,164720,1
2471541,164720,2
2471541,164720,3
2471541,164720,4
2471541,164720,5
2471541,164720,6
2471541,164720,7
2471541,164720,8
2471541,164720,9
2471541,164720,10
2471541,164720,11
2471541,164720,12
2471542,164720,0
2471542,164720,1
2471542,164720,2
2471543,164720,0
2471543,164720,1
2471543,164720,2
2471543,164720,3
2471543,164720,4
2471543,164720,5
2471543,164720,6
2471543,164720,7
2471543,164720,8
2471543,164720,9
2471543,164720,10
2471543,164720,11
2471543,164720,12
2471543,164720,13
2471543,164720,14
2471544,164720,0
2471544,164720,1
2471545,164720,0
2471545,164720,1
2471545,164720,2
2471545,164720,3
2471545,164720,4
2471545,164720,5
2471545,164720,6
2471545,164720,7
2471545,164720,8
2471545,164720,9
2471545,164720,10
2471545,164720,11
2471545,164720,12
2471545,164720,13
2471545,164720,14
2471545,164720,15
2471545,164720,16
2471545,164720,17
2471546,164720,0
2471546,164720,1
2471547,164720,0
2471547,164720,1
2471547,164720,2
2471548,164720,0
2471549,164720,0
2471549,164720,1
2471549,164720,2
2471549,164720,3
2471549,164720,4
2471549,164720,5
2471549,164720,6
2471549,164720,7
2471549,164720,8
2471549,164720,9
2471549,164720,10
2471549,164720,11
2471550,164720,0
2471550,164720,1
2471551,164720,0
2471551,164720,1
2471551,164720,2
2471551,164720,3
2471551,164720,4
2471551,164720,5
2471551,164720,6
2471551,164720,7
2471551,164720,8
2471551,164720,9
2471551,164720,10
2471552,164720,0
2471552,164720,1
2471552,164720,2
2471553,164720,0
2471553,164720,1
2471553,164720,2
2471554,164720,0
2471554,164720,1
2471555,164720,0
2471555,164720,1
2471555,164720,2
2471555,164720,3
2471555,164720,4
2471555,164720,5
2471555,164720,6
2471555,164720,7
2471555,164720,8
2471555,164720,9
2471555,164720,10
2471555,164720,11
2471555,164720,12
2471556,164720,0
2471556,164720,1
2471556,164720,2
2471556,164720,3
2471556,164720,4
2471556,164720,5
2471556,164720,6
2471556,164720,7
2471557,164720,0
2471557,164720,1
2471557,164720,2
2471557,164720,3
2471557,164720,4
2471557,164720,5
2471557,164720,6
2471557,164720,7
2471557,164720,8
2471557,164720,9
2471557,164720,10
2471557,164720,11
2471557,164720,12
2471557,164720,13
2471557,164720,14
2471558,164720,0
2471559,164720,0
2471559,164720,1
2471560,164720,0
2471560,164720,1
2471561,164720,0
2471561,164720,1
2471561,164720,2
2471561,164720,3
2471561,164720,4
2471561,164720,5
2471561,164720,6
2471561,164720,7
2471561,164720,8
2471561,164720,9
2471561,164720,10
2471562,164720,0
2471562,164720,1
2471562,164720,2
2471562,164720,3
2471562,164720,4
2471562,164720,5
2471563,164720,0
2471563,164720,1
2471563,164720,2
2471563,164720,3
2471563,164720,4
2471563,164720,5
2471563,164720,6
2471563,164720,7
2471563,164720,8
2471563,164720,9
2471563,164720,10
2471563,164720,11
2471563,164720,12
2471563,164720,13
2471564,164720,0
2471564,164720,1
2471564,164720,2
2471564,164720,3
2471564,164720,4
2471564,164720,5
2471564,164720,6
2471564,164720,7
2471564,164720,8
2471564,164720,9
2471564,164720,10
2471564,164720,11
2471565,164720,0
2471565,164720,1
2471565,164720,2
2471566,164720,0
2471566,164720,1
2471566,164720,2
2471567,164720,0
